,tag,weight,type,keyword
0,상승,33,P,경방
1,증가,4,P,경방
2,오픈,2,P,경방
3,체결,2,P,경방
4,최고,1,P,경방
5,진출,1,P,경방
6,전망,1,P,경방
7,기부,1,P,경방
0,중단,3,N,경방
1,직격탄,2,N,경방
