,date,close,volume,keyword
1,2020-11-10,43250,1332571,하나투어
2,2020-11-09,40350,76650,하나투어
3,2020-11-06,39800,57190,하나투어
4,2020-11-05,39950,70964,하나투어
5,2020-11-04,39050,88270,하나투어
9,2020-11-03,39250,61292,하나투어
10,2020-11-02,39200,72272,하나투어
11,2020-10-30,38700,94063,하나투어
12,2020-10-29,38800,252954,하나투어
13,2020-10-28,40400,72560,하나투어
16,2020-10-27,40200,83471,하나투어
17,2020-10-26,40550,71678,하나투어
18,2020-10-23,41150,96638,하나투어
19,2020-10-22,40700,71267,하나투어
20,2020-10-21,41100,108409,하나투어
24,2020-10-20,40500,91247,하나투어
25,2020-10-19,41100,158211,하나투어
26,2020-10-16,40800,93294,하나투어
27,2020-10-15,40500,104566,하나투어
28,2020-10-14,40700,133381,하나투어
31,2020-10-13,41500,139633,하나투어
32,2020-10-12,42100,745200,하나투어
33,2020-10-08,40300,229450,하나투어
34,2020-10-07,39500,79300,하나투어
35,2020-10-06,39350,76775,하나투어
39,2020-10-05,39300,72342,하나투어
40,2020-09-29,39200,83025,하나투어
41,2020-09-28,39100,143469,하나투어
42,2020-09-25,38150,66996,하나투어
43,2020-09-24,37300,76745,하나투어
46,2020-09-23,37500,121398,하나투어
47,2020-09-22,38000,118895,하나투어
48,2020-09-21,38650,87744,하나투어
49,2020-09-18,39050,117179,하나투어
50,2020-09-17,39100,128990,하나투어
54,2020-09-16,39900,116428,하나투어
55,2020-09-15,40050,93756,하나투어
56,2020-09-14,39900,92916,하나투어
57,2020-09-11,39350,59557,하나투어
58,2020-09-10,39400,77419,하나투어
61,2020-09-09,39400,76174,하나투어
62,2020-09-08,39600,82162,하나투어
63,2020-09-07,39350,118494,하나투어
64,2020-09-04,39100,257591,하나투어
65,2020-09-03,40000,141850,하나투어
69,2020-09-02,40200,189391,하나투어
70,2020-09-01,39000,92141,하나투어
71,2020-08-31,38400,90801,하나투어
72,2020-08-28,37650,70270,하나투어
73,2020-08-27,37550,94015,하나투어
76,2020-08-26,38450,85931,하나투어
77,2020-08-25,38300,147333,하나투어
78,2020-08-24,37000,87180,하나투어
79,2020-08-21,37300,72474,하나투어
80,2020-08-20,36450,238461,하나투어
84,2020-08-19,37950,168619,하나투어
85,2020-08-18,37600,471776,하나투어
86,2020-08-14,40950,266705,하나투어
87,2020-08-13,41950,424112,하나투어
