,tag,weight,type,keyword
0,협력,6,P,대한항공
1,제휴,4,P,대한항공
2,돌파,4,P,대한항공
3,체결,1,P,대한항공
0,과징금,8,N,대한항공
1,논란,7,N,대한항공
2,우려,5,N,대한항공
3,위반,3,N,대한항공
4,매각,3,N,대한항공
5,불만,2,N,대한항공
6,소송,2,N,대한항공
7,중단,1,N,대한항공
