,tag,weight,type,keyword
0,출시,23,P,삼성전자
1,최고,5,P,삼성전자
2,돌파,5,P,삼성전자
3,협력,3,P,삼성전자
4,주목,3,P,삼성전자
5,상승,3,P,삼성전자
6,역대,2,P,삼성전자
7,부상,1,P,삼성전자
0,하락,10,N,삼성전자
1,포기,1,N,삼성전자
