,tag,weight,type,keyword
0,출시,7,P,하나투어
1,상승,4,P,하나투어
2,주목,3,P,하나투어
3,전망,2,P,하나투어
4,체결,2,P,하나투어
5,승인,1,P,하나투어
6,오픈,1,P,하나투어
0,손실,12,N,하나투어
1,논란,11,N,하나투어
2,최악,6,N,하나투어
3,우려,4,N,하나투어
4,약세,2,N,하나투어
5,포기,2,N,하나투어
6,급락,2,N,하나투어
7,급감,1,N,하나투어
8,문제,1,N,하나투어
9,여파,1,N,하나투어
10,발끈,1,N,하나투어
11,해지,1,N,하나투어
