,tag,weight,type,keyword
0,돌파,3,P,셀트리온
1,역대,3,P,셀트리온
2,체결,2,P,셀트리온
3,증가,2,P,셀트리온
4,주목,1,P,셀트리온
0,부채,2,N,셀트리온
