,date,close,open,high,low,volume,keyword
0,2018-05-08,33350.0,34500.0,34550.0,33200.0,754231.0,대한항공
1,2018-05-09,33450.0,33200.0,33850.0,32200.0,850912.0,대한항공
2,2018-05-10,32950.0,33250.0,33450.0,32850.0,782726.0,대한항공
3,2018-05-11,34100.0,33150.0,34400.0,33100.0,703071.0,대한항공
4,2018-05-14,34500.0,34200.0,34850.0,34150.0,481184.0,대한항공
5,2018-05-15,34150.0,34500.0,34600.0,33900.0,326214.0,대한항공
6,2018-05-16,33700.0,33900.0,34000.0,33250.0,539136.0,대한항공
7,2018-05-17,32750.0,33600.0,33600.0,32450.0,893468.0,대한항공
8,2018-05-18,32350.0,32550.0,32900.0,32100.0,603390.0,대한항공
9,2018-05-21,32250.0,32250.0,32400.0,31800.0,315270.0,대한항공
10,2018-05-23,31700.0,32000.0,32350.0,31600.0,657651.0,대한항공
11,2018-05-24,32100.0,31700.0,32200.0,31600.0,265830.0,대한항공
12,2018-05-25,31800.0,31800.0,32200.0,31700.0,266648.0,대한항공
13,2018-05-28,32950.0,32200.0,33200.0,32100.0,804208.0,대한항공
14,2018-05-29,32750.0,33250.0,33250.0,32500.0,363557.0,대한항공
15,2018-05-30,32000.0,32550.0,32800.0,31800.0,490347.0,대한항공
16,2018-05-31,31950.0,32350.0,32400.0,31650.0,488654.0,대한항공
17,2018-06-01,32000.0,31850.0,32500.0,31750.0,429001.0,대한항공
18,2018-06-04,32250.0,32200.0,32550.0,31950.0,310465.0,대한항공
19,2018-06-05,32050.0,32400.0,32400.0,31800.0,345561.0,대한항공
20,2018-06-07,31900.0,32150.0,32400.0,31850.0,483771.0,대한항공
21,2018-06-08,31750.0,31900.0,32150.0,31700.0,384245.0,대한항공
22,2018-06-11,32550.0,31950.0,32700.0,31750.0,660649.0,대한항공
23,2018-06-12,33300.0,32750.0,33700.0,32450.0,904888.0,대한항공
24,2018-06-14,33000.0,33150.0,33650.0,32650.0,750321.0,대한항공
25,2018-06-15,32000.0,32900.0,33050.0,31700.0,856523.0,대한항공
26,2018-06-18,30650.0,31700.0,31950.0,30300.0,953419.0,대한항공
27,2018-06-19,29450.0,30300.0,30500.0,29250.0,934672.0,대한항공
28,2018-06-20,29750.0,29350.0,29900.0,29150.0,478831.0,대한항공
29,2018-06-21,28100.0,29550.0,29700.0,28000.0,1069115.0,대한항공
30,2018-06-22,28150.0,28100.0,28700.0,27750.0,482579.0,대한항공
31,2018-06-25,28550.0,28150.0,28600.0,28100.0,373695.0,대한항공
32,2018-06-26,28650.0,28300.0,28750.0,28200.0,332776.0,대한항공
33,2018-06-27,28050.0,28350.0,28450.0,27750.0,602837.0,대한항공
34,2018-06-28,27050.0,27700.0,27800.0,26900.0,880573.0,대한항공
35,2018-06-29,28250.0,27300.0,28300.0,27200.0,568197.0,대한항공
36,2018-07-02,27100.0,28200.0,28250.0,26600.0,740922.0,대한항공
37,2018-07-03,27400.0,27300.0,27700.0,27000.0,432265.0,대한항공
38,2018-07-04,27450.0,27150.0,27850.0,27150.0,258042.0,대한항공
39,2018-07-05,27750.0,27500.0,28000.0,27100.0,379808.0,대한항공
40,2018-07-06,27950.0,28000.0,28250.0,27700.0,291143.0,대한항공
41,2018-07-09,27850.0,28200.0,28250.0,27550.0,352082.0,대한항공
42,2018-07-10,28550.0,27950.0,28800.0,27900.0,530524.0,대한항공
43,2018-07-11,28850.0,28600.0,29150.0,28550.0,584296.0,대한항공
44,2018-07-12,28050.0,28900.0,28950.0,28050.0,473889.0,대한항공
45,2018-07-13,29100.0,28500.0,29250.0,28150.0,518543.0,대한항공
46,2018-07-16,28900.0,29100.0,29450.0,28650.0,419545.0,대한항공
47,2018-07-17,29100.0,29100.0,29750.0,28900.0,675028.0,대한항공
48,2018-07-18,28600.0,29100.0,29300.0,28450.0,331729.0,대한항공
49,2018-07-19,28050.0,28650.0,28950.0,27850.0,400184.0,대한항공
50,2018-07-20,27950.0,28000.0,28050.0,27250.0,473050.0,대한항공
51,2018-07-23,27850.0,27650.0,28350.0,27650.0,357073.0,대한항공
52,2018-07-24,27500.0,27950.0,28200.0,27100.0,458463.0,대한항공
53,2018-07-25,28000.0,27600.0,28800.0,27600.0,388223.0,대한항공
54,2018-07-26,28400.0,28400.0,28500.0,28100.0,304684.0,대한항공
55,2018-07-27,28300.0,28600.0,28600.0,28000.0,212009.0,대한항공
56,2018-07-30,28200.0,28250.0,28450.0,27950.0,176935.0,대한항공
57,2018-07-31,29200.0,28450.0,29200.0,28200.0,538227.0,대한항공
58,2018-08-01,29600.0,29500.0,29800.0,29300.0,514859.0,대한항공
59,2018-08-02,28900.0,29450.0,29800.0,28700.0,379079.0,대한항공
60,2018-08-03,29050.0,29050.0,29100.0,28700.0,330184.0,대한항공
61,2018-08-06,28750.0,28800.0,29200.0,28550.0,244758.0,대한항공
