,tag,weight,type,keyword
0,상승,35,P,신풍제약
1,주목,1,P,신풍제약
2,대박,1,P,신풍제약
3,돌파,1,P,신풍제약
0,하락,32,N,신풍제약
1,급락,22,N,신풍제약
2,매각,8,N,신풍제약
3,눈물,5,N,신풍제약
4,논란,3,N,신풍제약
5,부채,2,N,신풍제약
6,우려,1,N,신풍제약
