,date,close,volume,stock
1,2020-11-04,58500.0,21316295.0,삼성전자
2,2020-11-03,58800.0,14950919.0,삼성전자
3,2020-11-02,57400.0,20489076.0,삼성전자
4,2020-10-30,56600.0,26907844.0,삼성전자
5,2020-10-29,58100.0,22636966.0,삼성전자
9,2020-10-28,59000.0,14428882.0,삼성전자
10,2020-10-27,59800.0,17260416.0,삼성전자
11,2020-10-26,60400.0,13268226.0,삼성전자
12,2020-10-23,60200.0,9322232.0,삼성전자
13,2020-10-22,60100.0,14294095.0,삼성전자
16,2020-10-21,60900.0,15703443.0,삼성전자
17,2020-10-20,60900.0,19326115.0,삼성전자
18,2020-10-19,60000.0,14474985.0,삼성전자
19,2020-10-16,59500.0,16554190.0,삼성전자
20,2020-10-15,60000.0,17756232.0,삼성전자
24,2020-10-14,60900.0,16086716.0,삼성전자
25,2020-10-13,60900.0,19247631.0,삼성전자
26,2020-10-12,60400.0,16145837.0,삼성전자
27,2020-10-08,59700.0,24589924.0,삼성전자
28,2020-10-07,59900.0,14861838.0,삼성전자
31,2020-10-06,59000.0,14463826.0,삼성전자
32,2020-10-05,58700.0,20228289.0,삼성전자
33,2020-09-29,58200.0,15503563.0,삼성전자
34,2020-09-28,58200.0,12614080.0,삼성전자
35,2020-09-25,57900.0,11444683.0,삼성전자
39,2020-09-24,57800.0,17564020.0,삼성전자
40,2020-09-23,58600.0,20111398.0,삼성전자
41,2020-09-22,58200.0,20830381.0,삼성전자
42,2020-09-21,59200.0,15140387.0,삼성전자
43,2020-09-18,59300.0,18884571.0,삼성전자
46,2020-09-17,59500.0,25108356.0,삼성전자
47,2020-09-16,61000.0,17041444.0,삼성전자
48,2020-09-15,61000.0,17877075.0,삼성전자
49,2020-09-14,60400.0,20648281.0,삼성전자
50,2020-09-11,59000.0,16017098.0,삼성전자
54,2020-09-10,59200.0,29923293.0,삼성전자
55,2020-09-09,58400.0,30597399.0,삼성전자
56,2020-09-08,58700.0,31517520.0,삼성전자
57,2020-09-07,56500.0,18685880.0,삼성전자
58,2020-09-04,55600.0,22139109.0,삼성전자
61,2020-09-03,56400.0,28384920.0,삼성전자
62,2020-09-02,54400.0,16905723.0,삼성전자
63,2020-09-01,54200.0,19363117.0,삼성전자
64,2020-08-31,54000.0,32671367.0,삼성전자
65,2020-08-28,55400.0,14619888.0,삼성전자
69,2020-08-27,55600.0,16196568.0,삼성전자
70,2020-08-26,56400.0,17651593.0,삼성전자
71,2020-08-25,56400.0,14021705.0,삼성전자
72,2020-08-24,56100.0,15055896.0,삼성전자
73,2020-08-21,55900.0,21142288.0,삼성전자
76,2020-08-20,55400.0,30386029.0,삼성전자
77,2020-08-19,57800.0,16930719.0,삼성전자
78,2020-08-18,58400.0,25307825.0,삼성전자
79,2020-08-14,58000.0,15672548.0,삼성전자
80,2020-08-13,58700.0,22089460.0,삼성전자
84,2020-08-12,59000.0,18573934.0,삼성전자
85,2020-08-11,58200.0,24907912.0,삼성전자
86,2020-08-10,57800.0,17774291.0,삼성전자
87,2020-08-07,57500.0,18751717.0,삼성전자
88,2020-08-06,58000.0,21625874.0,삼성전자
91,2020-08-05,56900.0,17739706.0,삼성전자
92,2020-08-04,57300.0,19419694.0,삼성전자
93,2020-08-03,56800.0,21158940.0,삼성전자
94,2020-07-31,57900.0,21943345.0,삼성전자
95,2020-07-30,59000.0,19285354.0,삼성전자
99,2020-07-29,59000.0,36476611.0,삼성전자
100,2020-07-28,58600.0,48431566.0,삼성전자
101,2020-07-27,55600.0,21054421.0,삼성전자
102,2020-07-24,54200.0,10994535.0,삼성전자
103,2020-07-23,54100.0,16214932.0,삼성전자
106,2020-07-22,54700.0,12885057.0,삼성전자
107,2020-07-21,55300.0,18297260.0,삼성전자
108,2020-07-20,54200.0,10507530.0,삼성전자
109,2020-07-17,54400.0,10096174.0,삼성전자
110,2020-07-16,53800.0,16779127.0,삼성전자
114,2020-07-15,54700.0,24051450.0,삼성전자
115,2020-07-14,53800.0,14269484.0,삼성전자
116,2020-07-13,53400.0,12240188.0,삼성전자
117,2020-07-10,52700.0,13714746.0,삼성전자
118,2020-07-09,52800.0,17054850.0,삼성전자
121,2020-07-08,53000.0,19664652.0,삼성전자
122,2020-07-07,53400.0,30760032.0,삼성전자
123,2020-07-06,55000.0,19856623.0,삼성전자
124,2020-07-03,53600.0,11887868.0,삼성전자
125,2020-07-02,52900.0,14142583.0,삼성전자
129,2020-07-01,52600.0,16706143.0,삼성전자
130,2020-06-30,52800.0,21157172.0,삼성전자
131,2020-06-29,52400.0,17776925.0,삼성전자
132,2020-06-26,53300.0,21575360.0,삼성전자
133,2020-06-25,51900.0,18541624.0,삼성전자
136,2020-06-24,52900.0,24519552.0,삼성전자
137,2020-06-23,51400.0,18086152.0,삼성전자
138,2020-06-22,52000.0,13801350.0,삼성전자
139,2020-06-19,52900.0,18157985.0,삼성전자
140,2020-06-18,52300.0,15982926.0,삼성전자
144,2020-06-17,52200.0,26672595.0,삼성전자
145,2020-06-16,52100.0,21808375.0,삼성전자
146,2020-06-15,49900.0,28772921.0,삼성전자
