,tag,weight,type,keyword
0,출시,19,P,엔씨소프트
1,돌파,11,P,엔씨소프트
2,진출,11,P,엔씨소프트
3,돌풍,1,P,엔씨소프트
4,오픈,1,P,엔씨소프트
5,대박,1,P,엔씨소프트
0,하락,6,N,엔씨소프트
1,약세,1,N,엔씨소프트
