,tag,weight,type,keyword
0,출시,5,P,삼성전자
1,협력,4,P,삼성전자
2,주목,1,P,삼성전자
3,역대,1,P,삼성전자
4,상승,1,P,삼성전자
0,적발,12,N,삼성전자
1,기소,8,N,삼성전자
2,의혹,7,N,삼성전자
3,리스크,3,N,삼성전자
4,혐의,2,N,삼성전자
5,약세,1,N,삼성전자
