,tag,weight,type,keyword
0,제휴,7,P,대한항공
1,돌파,3,P,대한항공
2,체결,1,P,대한항공
0,논란,10,N,대한항공
1,우려,7,N,대한항공
2,소송,2,N,대한항공
3,중단,1,N,대한항공
4,부채,1,N,대한항공
5,최악,1,N,대한항공
