,title
90,단체교섭 인사말하는 나기홍 삼성전자 부사장
91,"삼성전자, 제4회 '삼성 AI 포럼 2020' 개최"
92,‘삼성 AI포럼 2020’ 개막…AI 전문가 총집결
93,100대 기업 여성임원 286명…삼성전자 여성 임원 55명으로 최다
94,삼성전자 임원들과 악수하는 김만재 위원장
95,"삼성전자, 제4회 ‘삼성 AI 포럼 2020’ 개최"
96,"'삼성 AI 포럼 2020' 2일차...세바스찬 승, '인간 중심 AI 연구'가 미래"
97,[사진]인사하는 삼성전자 노사
98,삼성전자 단체교섭 상견례
99,삼성전자 단체교섭 상견례
100,"삼성전자 노사 첫 상견례 ""중요하고 의미 있는 시간"""
101,"[사설] 삼성전자 사상 첫 단체교섭, ‘노사 상생’ 열매 맺길"
102,"삼성전자 ""더 나은 세상 만들기 위해 인간 중심의 AI 연구"""
103,삼성전자 게이밍 모니터 '오디세이 G7' 미국 IT매체로부터 호평
104,故 이건희 회장 별세에 요동치는 삼성그룹주…삼성전자·물산·SDS 주가 더 오...
105,삼성전자 51주년 기념식 “이건희 회장님 타계는 큰 충격과 슬픔”
106,승현준 삼성리서치 소장 “인간 중심 AI는 삼성 비전과 일맥상통”
107,AI 기술 교류의 장…'삼성 AI포럼 2020' 온라인 개최
108,"삼성 오디세이 G7, 美서 완벽한 게이밍 모니터로 호평"
109,'LCD 세계 1위 주역' 이상완 전 삼성전자 사장 별세
110,삼성전자 51주년 기념식 “이건희 회장님 타계는 큰 충격과 슬픔”
111,승현준 삼성리서치 소장 “인간 중심 AI는 삼성 비전과 일맥상통”
112,"삼성AI포럼 2일차, ‘인간 중심 AI 미래’ 탐구"
113,AI 기술 교류의 장…'삼성 AI포럼 2020' 온라인 개최
114,"삼성 오디세이 G7, 美서 완벽한 게이밍 모니터로 호평"
115,"삼성전자 노사, 첫 상견례…관계 변화 주목"
116,"삼성전자 노사, 오늘(3일) 상견례 통해 첫 단체교섭 시작"
117,"삼성 오디세이 G7, 美 유명 IT매체 평가서 게이밍 모니터 최초 '만점'"
118,'LCD 세계 1위 주역' 이상완 전 삼성전자 사장 별세
119,<10문10답>삼성 상속세 11조원… ‘가혹한 세금’ 논란
120,"삼성전자, 공동교섭단과 오늘 첫 상견례…단체교섭 시작"
